all renewables Gwh
0.2
0.0
0.0
14.3
4.3
1.0
0.0
38.7
0.0
0.5
0.1
0.2
0.0
18.5
120.2
0.0
131.2
0.0
2.8
17.6
0.0
0.0
6.2
0.6
0.5
1.4
0.2
3.2
433.7
8.0
1.1
1.3
11.4
8.3
24.2
0.7
5.9
17.7
0.0
29.8
0.0
6.7
0.0
0.0
0.2
2.1
0.8
0.4
6.3
0.0
0.2
315.4
0.1
40.6
0.7
141.0
0.4
3.4
1.4
0.8
4.2
59.5
0.0
7.9
0.0
0.0
0.3
847.0
0.8
9.2
0.1
29.1
1.1
0.3
0.0
1.4
59.9
14.1
0.0
24.7
41.6
0.9
0.0
0.0
1.8
0.4
0.2
0.0
13.7
46.8
0.6
6.4
19.0
202.4
9.2
2220.5
13.9
0.9
14.0
0.0
9.2
48.9
0.0
19.3
0.0
0.4
0.0
0.0
0.0
11.7
0.1
5.4
37.3
0.0
48.4
0.0
0.0
0.8
18.4
1.8
0.0
0.0
46.5
34.6
25.7
0.7
8.3
6.5
36.2
0.0
0.0
0.0
2.1
0.8
2.4
0.0
60.4
0.2
0.1
0.6
5.9
9.0
4.2
0.0
15.5
2.5
0.0
0.2
0.5
8.8
5.2
0.0
22.0
4.2
32.2
0.1
3.0
0.0
0.1
7.3
67.9
7.5
0.0
29.5
0.0
3.6
1.2
28.7
5.1
0.0
